original_scenario_id,base_rho,base_tau,regime,K,rho,qH,tau,boundary_selected_from_150_replays,selection_exact_certifiable_policies,selection_best_policy_upper,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,evidence_n,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_op_cost,final_1200_certified,decision_reversal
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,2,2,4.0,4.0,300,300,293,255,0.9905684979382053,0.8884374775698745,0,0.12359646191041125,0.1045510604400057,0.5139511453559843,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,2,2,4.0,4.0,600,600,587,508,0.9884141744311549,0.874565685665855,0,0.1236345482523949,0.10447428277485019,0.5152354660285118,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,2,2,4.0,4.0,1200,1200,1172,1024,0.9844404786811924,0.872881418465982,0,0.12410758949606958,0.10613854396478024,0.5099875724867963,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,3,2,4.0,4.0,50,50,48,41,0.9951185665738356,0.9142379218903364,0,0.11654109492946811,0.09859006810702114,0.5094380068404941,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,3,2,4.0,4.0,100,100,97,87,0.9937700284616936,0.9289269538145705,0,0.12041090180928375,0.10339048319461716,0.5030837311215238,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,3,2,4.0,4.0,150,150,146,130,0.9926874536019917,0.9166161933604736,0,0.12089246313164106,0.10370666792127702,0.5066214672171191,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,3,2,4.0,4.0,300,300,293,255,0.9905684979382053,0.8884374775698745,0,0.12359646191041125,0.1045510604400057,0.5139511453559843,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,3,2,4.0,4.0,600,600,587,508,0.9884141744311549,0.874565685665855,0,0.1236345482523949,0.10447428277485019,0.5152354660285118,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,3,2,4.0,4.0,1200,1200,1172,1024,0.9844404786811924,0.872881418465982,0,0.12410758949606958,0.10613854396478024,0.5099875724867963,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,DR-BGS,4,2,4.0,4.0,50,50,48,41,0.9951185665738356,0.9142379218903364,0,0.11654109492946811,0.09859006810702114,0.5094380068404941,0,0
